date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:00	371/371	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2008%20Feb%202020%2001:30:52%20GMT	https://static.tildacdn.com/tild3061-3535-4939-b539-353639643462/-/resizeb/20x/16.jpg	C:/My%20Web%20Sites/hi/static.tildacdn.com/tild3061-3535-4939-b539-353639643462/-/resizeb/20x/16.jpg	(from https://www.malinkacapital.com/2)
21:03:00	100/100	---MC-	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202018%2008:34:45%20GMT	https://static.tildacdn.com/d6209ed7-2e87-4c87-ab87-01da3506feb3/-/empty/189957_196755917021554_1872769_n.jpg	C:/My%20Web%20Sites/hi/static.tildacdn.com/d6209ed7-2e87-4c87-ab87-01da3506feb3/-/empty/189957_196755917021554_1872769_n.png	(from https://www.malinkacapital.com/2)
21:03:01	84169/84169	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e172403-148c9%22	https://static.tildacdn.com/js/ya-share.js	C:/My%20Web%20Sites/hi/static.tildacdn.com/js/ya-share.js	(from https://www.malinkacapital.com/2)
21:03:03	768421/768421	---M--	200	added ('OK')	image/jpeg	etag:%227a83955dddcece4b9ab3c464c92329d3%22	https://static.tildacdn.com/tild3334-6166-4136-b333-353137633866/9.jpg	C:/My%20Web%20Sites/hi/static.tildacdn.com/tild3334-6166-4136-b333-353137633866/9.jpg	(from https://www.malinkacapital.com/2)
21:03:03	1118/1118	---MC-	200	added ('OK')	image/png	date:Fri,%2017%20Apr%202020%2016:03:02%20GMT	https://static.tildacdn.com/tild6161-6335-4165-b037-626235363733/-/resize/20x/image_279.png	C:/My%20Web%20Sites/hi/static.tildacdn.com/tild6161-6335-4165-b037-626235363733/-/resize/20x/image_279.png	(from https://www.malinkacapital.com/3)
21:03:03	91414/91414	---MC-	200	added ('OK')	image/png	date:Fri,%2017%20Apr%202020%2016:03:01%20GMT	https://static.tildacdn.com/tild6161-6335-4165-b037-626235363733/-/resize/504x/image_279.png	C:/My%20Web%20Sites/hi/static.tildacdn.com/tild6161-6335-4165-b037-626235363733/-/resize/504x/image_279.png	(from https://www.malinkacapital.com/3)
21:03:03	641933/641933	---MCZ	200	added ('OK')	text/html	etag:W/%229cb8d-5a367f5c7f051%22	https://www.malinkacapital.com/features_eng	C:/My%20Web%20Sites/hi/www.malinkacapital.com/features_eng	(from https://www.malinkacapital.com/features)
21:03:03	362/362	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2017%20Apr%202020%2016:03:03%20GMT	https://static.tildacdn.com/tild3539-6139-4861-a365-663534393836/-/resizeb/20x/Hedge-Fund-min.jpg	C:/My%20Web%20Sites/hi/static.tildacdn.com/tild3539-6139-4861-a365-663534393836/-/resizeb/20x/Hedge-Fund-min.jpg	(from https://www.malinkacapital.com/blog)
21:03:03	210/210	---MC-	200	added ('OK')	image/png	date:Fri,%2017%20Apr%202020%2016:03:03%20GMT	https://static.tildacdn.com/tild6161-6335-4165-b037-626235363733/-/resizeb/20x/image_279.png	C:/My%20Web%20Sites/hi/static.tildacdn.com/tild6161-6335-4165-b037-626235363733/-/resizeb/20x/image_279.png	(from https://www.malinkacapital.com/blog)
21:03:04	250/250	---MC-	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202020%2008:15:50%20GMT	https://static.tildacdn.com/tild3935-3466-4362-b065-643363386430/-/resizeb/20x/image_277.png	C:/My%20Web%20Sites/hi/static.tildacdn.com/tild3935-3466-4362-b065-643363386430/-/resizeb/20x/image_277.png	(from https://www.malinkacapital.com/blog)
21:03:04	133111/133111	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2015:51:38%20GMT	https://tilda.ws/project2098589/tilda-blocks-2.12.css?t=1586772613	C:/My%20Web%20Sites/hi/tilda.ws/project2098589/tilda-blocks-2.124dc5.css	(from https://www.malinkacapital.com/blog_eng)
21:03:05	68362/68362	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2017%20Apr%202020%2015:51:39%20GMT	https://tilda.ws/project2098589/tilda-blocks-2.7.js?t=1586772613	C:/My%20Web%20Sites/hi/tilda.ws/project2098589/tilda-blocks-2.74dc5.js	(from https://www.malinkacapital.com/blog_eng)
21:03:05	103086/103086	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22192ae-5a33dacbf6948%22	https://www.malinkacapital.com/tilda/popup/	C:/My%20Web%20Sites/hi/www.malinkacapital.com/tilda/popup/index.html	(from https://tilda.ws/project2098589/tilda-blocks-2.7.js?t=1587056195)
21:03:05	133111/133111	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2015:51:38%20GMT	https://tilda.ws/project2098589/tilda-blocks-2.12.css?t=1587041783	C:/My%20Web%20Sites/hi/tilda.ws/project2098589/tilda-blocks-2.12699d.css	(from https://www.malinkacapital.com/features_eng)
21:03:06	68362/68362	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2015:51:39%20GMT	https://tilda.ws/project2098589/tilda-blocks-2.7.js?t=1587041783	C:/My%20Web%20Sites/hi/tilda.ws/project2098589/tilda-blocks-2.7699d.js	(from https://www.malinkacapital.com/features_eng)
